scenario_id,iteration,network,source,destination,transmitter_type,modulation,baud_rate_gbaud,bit_rate_gbps,launch_power_dbm,channel_pattern,channel_number,frequency_thz,channel_power_dbm,osnr_signal_bw_db,snr_nli_signal_bw_db,gsnr_signal_bw_db
iter-2-scenario-59,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00010011,4.0,194.1125,1.29,31.7,25.7,24.73
iter-2-scenario-59,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00010011,7.0,194.225,1.29,31.69,24.43,23.68
iter-2-scenario-59,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00010011,8.0,194.2625,1.29,31.69,24.54,23.77
iter-2-scenario-60,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00010011,4.0,194.1125,1.79,31.9,24.7,23.94
iter-2-scenario-60,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00010011,7.0,194.225,1.79,31.9,23.43,22.85
iter-2-scenario-60,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00010011,8.0,194.2625,1.79,31.9,23.54,22.95
iter-1-scenario-21,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010100,4.0,194.1125,0.79,31.47,26.85,25.56
iter-1-scenario-21,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010100,6.0,194.1875,0.79,31.47,26.84,25.56
iter-2-scenario-61,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010100,4.0,194.1125,0.79,31.47,26.85,25.56
iter-2-scenario-61,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010100,6.0,194.1875,0.79,31.47,26.84,25.56
iter-2-scenario-62,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00010100,4.0,194.1125,1.29,31.7,25.85,24.85
iter-2-scenario-62,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00010100,6.0,194.1875,1.29,31.69,25.84,24.84
iter-2-scenario-63,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00010100,4.0,194.1125,1.79,31.9,24.85,24.07
iter-2-scenario-63,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00010100,6.0,194.1875,1.79,31.9,24.84,24.06
iter-1-scenario-22,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010101,4.0,194.1125,0.79,31.47,26.39,25.22
